"id";"pincode";"created_at";"updated_at"
"1";"504273";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2";"504293";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"3";"504307";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"4";"504001";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"5";"504001";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"6";"504251";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"7";"504273";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"8";"504251";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"9";"504309";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"10";"504201";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"11";"504110";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"12";"504202";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"13";"504296";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"14";"504231";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"15";"504109";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"16";"504201";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"17";"504299";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"18";"504002";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"19";"504201";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"20";"504204";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"21";"504312";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"22";"504313";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"23";"504101";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"24";"504293";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"25";"504201";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"26";"504204";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"27";"504293";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"28";"504299";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"29";"504205";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"30";"504203";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"31";"504295";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
